Instance;d_0;k_0;MismatchedOutliers;OurObj;intercept;slopes
../src/instance_set/toy_30_10_02_2_0_5_-10_6.dat;8;3;14;0.000000;-5.694263;-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~-0.935215~-0.000000~-0.000000~-0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;4;1;7;-0.000000;-0.766465;-0.000000~0.000000~-0.000000~4.795818~0.000000~0.000000~10.000000~-0.456586~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;4;3;14;-0.000000;2.871062;-0.000000~10.000000~9.470734~-0.000000~-0.000000~0.000000~-0.807911~6.388351~-1.195566
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;8;1;8;0.000000;-5.366215;-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~0.000000~-0.686853~-0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_7.dat;8;3;17;0.000000;-4.341545;-0.000000~0.778652~-0.000000~-0.000000~-0.000000~-1.491750~-0.000000~-1.297651~-0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;4;1;7;-0.000000;-6.873572;-0.000000~-0.000000~-1.539629~2.890273~-0.000000~0.000000~-0.000000~-0.876149~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;4;3;12;-0.000000;-1.981065;-0.000000~-0.000000~-0.000000~0.387471~-0.000000~0.663997~-3.037333~-0.998502~-6.007037
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;8;1;9;-0.000000;-7.417874;3.462128~-0.000000~-0.000000~0.306870~-0.000000~-0.000000~-0.000000~0.305808~-0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_8.dat;8;3;16;-0.000000;-6.284283;-0.000000~-0.000000~-0.000000~1.861925~-0.000000~-0.000000~-0.000000~0.346787~-0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;4;1;5;0.000000;9.282618;-0.000000~-10.000000~0.000000~-0.000000~-7.183277~-0.000000~0.000000~5.906460~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;4;3;11;-0.000000;-4.224808;-0.000000~-0.000000~3.160012~-0.000000~-0.000000~-3.700111~1.216277~-0.613216~-1.095945
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;8;1;6;-0.000000;-8.740033;-0.000000~-0.000000~0.000000~-0.000000~-0.000000~-0.000000~0.828470~-0.000000~-0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_9.dat;8;3;12;-0.000000;-6.365952;-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~0.896510~-1.298820~-1.725190~-0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;4;1;5;0.000000;-4.308435;0.000000~-0.000000~-0.000000~-0.000000~-0.000000~-2.981402~0.000000~-8.526330~0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;4;3;12;0.000000;-4.043640;9.350374~-0.000000~-0.000000~-0.804981~-0.000000~3.483552~-3.968180~-5.359334~-0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;8;1;6;0.000000;-4.826515;-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~-3.384355~-0.000000~0.236904~-0.000000
../src/instance_set/toy_30_10_02_2_0_5_-10_10.dat;8;3;10;-0.000000;-4.018246;-0.000000~-0.000000~-0.000000~-0.000000~-0.000000~-0.157927~-2.417010~1.414770~-0.000000
